ID,Start time,Completion time,How much times do you watch movie in a week?,How many hours you exercise in a week?,What is your daily sleeping time?,How many time you read a book in a week?,How many meals do you take in a day?,How many programs/events you take part in a week?,How many hours do you spend on social media in a day?,How many hours do you spend on online shopping platform in a week?,How much do you spend on in a week?,How many hours do you spend with your family in a week?
1,12/10/21 12:26:55,12/10/21 12:27:46,0 - 3,0 - 5,1:00 am and above,0 - 3,3,4 - 7,5 - 7,0 - 2,RM0 - RM49,10 -19
2,12/10/21 12:26:11,12/10/21 12:28:31,0 - 3,0 - 5,12:00 am,4 - 7,3,0 - 3,5 - 7,3 - 5,RM100 - RM149,20 - 29
3,12/10/21 12:28:24,12/10/21 12:29:47,4 - 7,0 - 5,11:00 pm,0 - 3,2,0 - 3,0 - 2,0 - 2,RM0 - RM49,0 - 9
4,12/10/21 12:34:04,12/10/21 12:35:30,0 - 3,0 - 5,1:00 am and above,4 - 7,3,0 - 3,5 - 7,0 - 2,RM50 - RM99,40 and above
5,12/10/21 12:34:05,12/10/21 12:35:31,0 - 3,0 - 5,1:00 am and above,4 - 7,3,0 - 3,5 - 7,0 - 2,RM50 - RM99,40 and above
6,12/10/21 12:36:55,12/10/21 12:38:03,4 - 7,0 - 5,1:00 am and above,0 - 3,3,0 - 3,5 - 7,0 - 2,RM0 - RM49,0 - 9
7,12/10/21 12:38:36,12/10/21 12:40:59,0 - 3,6 - 11,12:00 am,0 - 3,3,0 - 3,5 - 7,0 - 2,RM50 - RM99,40 and above
8,12/10/21 13:26:39,12/10/21 13:27:47,0 - 3,0 - 5,1:00 am and above,0 - 3,3,0 - 3,5 - 7,0 - 2,RM50 - RM99,0 - 9
9,12/10/21 14:28:03,12/10/21 14:28:42,0 - 3,6 - 11,11:00 pm,0 - 3,3,4 - 7,0 - 2,0 - 2,RM50 - RM99,0 - 9
10,12/10/21 14:27:51,12/10/21 14:28:48,0 - 3,0 - 5,1:00 am and above,4 - 7,2,4 - 7,5 - 7,0 - 2,RM0 - RM49,10 -19
11,12/10/21 14:27:54,12/10/21 14:29:31,0 - 3,0 - 5,1:00 am and above,0 - 3,3,0 - 3,5 - 7,0 - 2,RM0 - RM49,10 -19
12,12/10/21 14:30:34,12/10/21 14:32:48,0 - 3,0 - 5,1:00 am and above,0 - 3,3,0 - 3,8 and above,0 - 2,RM0 - RM49,40 and above
13,12/10/21 14:33:07,12/10/21 14:34:10,0 - 3,0 - 5,11:00 pm,12 and above,3,0 - 3,0 - 2,0 - 2,RM0 - RM49,10 -19
